Num,Date,Amps,Kilowatts0,ACFM0,Num,Date,Amps ac2,Kilowatts1,ACFM1
1,2023-04-17 22:00:00,29.1788,13.34,0,1,2023-04-17 22:00:00,36.9919,15.38,0
2,2023-04-17 23:00:00,30.5571,13.97,0,2,2023-04-17 23:00:00,37.0248,15.39,0
3,2023-04-18 00:00:00,30.0927,13.76,0,3,2023-04-18 00:00:00,36.9506,15.36,0
4,2023-04-18 01:00:00,29.3627,13.43,0,4,2023-04-18 01:00:00,36.8306,15.31,0
5,2023-04-18 02:00:00,28.5948,13.08,0,5,2023-04-18 02:00:00,36.7384,15.27,0
6,2023-04-18 03:00:00,27.8908,12.75,0,6,2023-04-18 03:00:00,36.6634,15.24,0
7,2023-04-18 04:00:00,27.2932,12.48,0,7,2023-04-18 04:00:00,36.6041,15.22,0
8,2023-04-18 05:00:00,26.7941,12.25,0,8,2023-04-18 05:00:00,36.5473,15.19,0
9,2023-04-18 06:00:00,26.4176,12.08,0,9,2023-04-18 06:00:00,36.5078,15.18,0
10,2023-04-18 07:00:00,26.1198,11.94,0,10,2023-04-18 07:00:00,36.4765,15.16,0
11,2023-04-18 08:00:00,26.5178,12.13,0,11,2023-04-18 08:00:00,36.4904,15.17,0
12,2023-04-18 09:00:00,28.0847,12.84,0,12,2023-04-18 09:00:00,36.6301,15.23,0
13,2023-04-18 10:00:00,62.8104,28.72,0,13,2023-04-18 10:00:00,24.65,10.25,0
14,2023-04-18 11:00:00,132.3082,80.67,434,14,2023-04-18 11:00:00,0.9326,0.39,0
15,2023-04-18 12:00:00,132.3047,80.66,434,15,2023-04-18 12:00:00,0.9501,0.39,0
16,2023-04-18 13:00:00,132.0428,80.5,434,16,2023-04-18 13:00:00,0.9602,0.4,0
17,2023-04-18 14:00:00,131.9887,80.47,434,17,2023-04-18 14:00:00,0.9468,0.39,0
18,2023-04-18 15:00:00,131.7294,80.31,434,18,2023-04-18 15:00:00,0.9434,0.39,0
19,2023-04-18 16:00:00,131.8867,80.41,434,19,2023-04-18 16:00:00,0.9314,0.39,0
20,2023-04-18 17:00:00,131.8001,80.36,434,20,2023-04-18 17:00:00,0.9163,0.38,0
21,2023-04-18 18:00:00,131.8721,80.4,434,21,2023-04-18 18:00:00,0.9159,0.38,0
22,2023-04-18 19:00:00,131.6169,80.24,434,22,2023-04-18 19:00:00,0.9163,0.38,0
23,2023-04-18 20:00:00,131.7146,80.3,434,23,2023-04-18 20:00:00,0.9293,0.39,0
24,2023-04-18 21:00:00,131.8106,80.36,434,24,2023-04-18 21:00:00,0.9259,0.38,0
25,2023-04-18 22:00:00,131.5704,80.22,434,25,2023-04-18 22:00:00,0.9223,0.38,0
26,2023-04-18 23:00:00,131.1989,79.99,434,26,2023-04-18 23:00:00,0.9174,0.38,0
27,2023-04-19 00:00:00,131.3587,80.09,434,27,2023-04-19 00:00:00,0.9176,0.38,0
28,2023-04-19 01:00:00,131.1979,79.99,434,28,2023-04-19 01:00:00,0.9194,0.38,0
29,2023-04-19 02:00:00,131.1498,79.96,434,29,2023-04-19 02:00:00,0.9173,0.38,0
30,2023-04-19 03:00:00,131.0207,79.88,434,30,2023-04-19 03:00:00,0.9042,0.38,0
31,2023-04-19 04:00:00,131.2033,79.99,434,31,2023-04-19 04:00:00,0.904,0.38,0
32,2023-04-19 05:00:00,131.7545,80.33,434,32,2023-04-19 05:00:00,0.9023,0.38,0
