Num,Date,Amps,Kilowatts0,ACFM0,Num,Date,Amps ac2,Kilowatts1,ACFM1
9,2023-04-18 06:00:00,26.4176,12.08,0,9,2023-04-18 06:00:00,36.5078,15.18,0
10,2023-04-18 07:00:00,26.1198,11.94,0,10,2023-04-18 07:00:00,36.4765,15.16,0
11,2023-04-18 08:00:00,26.5178,12.13,0,11,2023-04-18 08:00:00,36.4904,15.17,0
12,2023-04-18 09:00:00,28.0847,12.84,0,12,2023-04-18 09:00:00,36.6301,15.23,0
13,2023-04-18 10:00:00,62.8104,28.72,0,13,2023-04-18 10:00:00,24.65,10.25,0
14,2023-04-18 11:00:00,132.3082,80.67,434,14,2023-04-18 11:00:00,0.9326,0.39,0
15,2023-04-18 12:00:00,132.3047,80.66,434,15,2023-04-18 12:00:00,0.9501,0.39,0
16,2023-04-18 13:00:00,132.0428,80.5,434,16,2023-04-18 13:00:00,0.9602,0.4,0
17,2023-04-18 14:00:00,131.9887,80.47,434,17,2023-04-18 14:00:00,0.9468,0.39,0
18,2023-04-18 15:00:00,131.7294,80.31,434,18,2023-04-18 15:00:00,0.9434,0.39,0
33,2023-04-19 06:00:00,132.4601,80.76,434,33,2023-04-19 06:00:00,0.9082,0.38,0
34,2023-04-19 07:00:00,132.6756,80.89,434,34,2023-04-19 07:00:00,0.9037,0.38,0
35,2023-04-19 08:00:00,132.5997,80.84,434,35,2023-04-19 08:00:00,0.9029,0.38,0
36,2023-04-19 09:00:00,132.4209,80.73,434,36,2023-04-19 09:00:00,0.8958,0.37,0
37,2023-04-19 10:00:00,132.451,80.75,434,37,2023-04-19 10:00:00,0.8965,0.37,0
38,2023-04-19 11:00:00,132.7638,80.94,434,38,2023-04-19 11:00:00,0.8933,0.37,0
39,2023-04-19 12:00:00,132.716,80.91,434,39,2023-04-19 12:00:00,0.8937,0.37,0
40,2023-04-19 13:00:00,132.8372,80.99,434,40,2023-04-19 13:00:00,0.8949,0.37,0
41,2023-04-19 14:00:00,132.9064,81.03,434,41,2023-04-19 14:00:00,0.8928,0.37,0
42,2023-04-19 15:00:00,132.683,80.89,434,42,2023-04-19 15:00:00,0.8964,0.37,0
57,2023-04-20 06:00:00,132.119,80.55,434,57,2023-04-20 06:00:00,0.9253,0.38,0
58,2023-04-20 07:00:00,131.4589,80.15,434,58,2023-04-20 07:00:00,25.463,10.58,0
59,2023-04-20 08:00:00,129.2264,78.79,434,59,2023-04-20 08:00:00,111.399,61.74,0
60,2023-04-20 09:00:00,132.1703,80.58,434,60,2023-04-20 09:00:00,0.9483,0.39,0
61,2023-04-20 10:00:00,132.2124,80.61,434,61,2023-04-20 10:00:00,0.9186,0.38,0
62,2023-04-20 11:00:00,132.2026,80.6,434,62,2023-04-20 11:00:00,0.914,0.38,0
63,2023-04-20 12:00:00,132.0956,80.54,434,63,2023-04-20 12:00:00,0.9267,0.39,0
64,2023-04-20 13:00:00,132.0996,80.54,434,64,2023-04-20 13:00:00,0.9236,0.38,0
65,2023-04-20 14:00:00,131.9101,80.42,434,65,2023-04-20 14:00:00,0.9155,0.38,0
66,2023-04-20 15:00:00,131.8147,80.37,434,66,2023-04-20 15:00:00,0.9125,0.38,0
81,2023-04-21 06:00:00,132.55,80.81,434,81,2023-04-21 06:00:00,0.9054,0.38,0
82,2023-04-21 07:00:00,132.3927,80.72,434,82,2023-04-21 07:00:00,0.9071,0.38,0
83,2023-04-21 08:00:00,132.3891,80.72,434,83,2023-04-21 08:00:00,0.9094,0.38,0
84,2023-04-21 09:00:00,132.2717,80.64,434,84,2023-04-21 09:00:00,0.9114,0.38,0
85,2023-04-21 10:00:00,132.2587,80.64,434,85,2023-04-21 10:00:00,0.9142,0.38,0
86,2023-04-21 11:00:00,132.3641,80.7,434,86,2023-04-21 11:00:00,0.9105,0.38,0
87,2023-04-21 12:00:00,132.4137,80.73,434,87,2023-04-21 12:00:00,0.914,0.38,0
88,2023-04-21 13:00:00,132.2147,80.61,434,88,2023-04-21 13:00:00,0.9194,0.38,0
89,2023-04-21 14:00:00,132.1651,80.58,434,89,2023-04-21 14:00:00,0.9206,0.38,0
90,2023-04-21 15:00:00,132.2298,80.62,434,90,2023-04-21 15:00:00,0.9228,0.38,0
105,2023-04-22 06:00:00,127.6283,77.81,0,105,2023-04-22 06:00:00,127.5108,70.67,0
106,2023-04-22 07:00:00,127.7987,77.92,0,106,2023-04-22 07:00:00,125.2343,69.41,0
107,2023-04-22 08:00:00,128.0971,78.1,0,107,2023-04-22 08:00:00,127.2662,70.54,0
108,2023-04-22 09:00:00,130.2094,79.39,434,108,2023-04-22 09:00:00,72.1731,30.0,0
109,2023-04-22 10:00:00,132.0766,80.52,434,109,2023-04-22 10:00:00,1.0171,0.42,0
110,2023-04-22 11:00:00,132.0245,80.49,434,110,2023-04-22 11:00:00,1.0201,0.42,0
111,2023-04-22 12:00:00,131.8632,80.39,434,111,2023-04-22 12:00:00,1.0045,0.42,0
