Num,Date,Amps,Kilowatts0,ACFM0,Num,Date,Amps ac2,Kilowatts1,ACFM1
1,2023-04-17 22:00:00,29.1788,13.34,0,1,2023-04-17 22:00:00,36.9919,15.38,0
2,2023-04-17 23:00:00,30.5571,13.97,0,2,2023-04-17 23:00:00,37.0248,15.39,0
3,2023-04-18 00:00:00,30.0927,13.76,0,3,2023-04-18 00:00:00,36.9506,15.36,0
4,2023-04-18 01:00:00,29.3627,13.43,0,4,2023-04-18 01:00:00,36.8306,15.31,0
5,2023-04-18 02:00:00,28.5948,13.08,0,5,2023-04-18 02:00:00,36.7384,15.27,0
6,2023-04-18 03:00:00,27.8908,12.75,0,6,2023-04-18 03:00:00,36.6634,15.24,0
7,2023-04-18 04:00:00,27.2932,12.48,0,7,2023-04-18 04:00:00,36.6041,15.22,0
8,2023-04-18 05:00:00,26.7941,12.25,0,8,2023-04-18 05:00:00,36.5473,15.19,0
19,2023-04-18 16:00:00,131.8867,80.41,434,19,2023-04-18 16:00:00,0.9314,0.39,0
20,2023-04-18 17:00:00,131.8001,80.36,434,20,2023-04-18 17:00:00,0.9163,0.38,0
21,2023-04-18 18:00:00,131.8721,80.4,434,21,2023-04-18 18:00:00,0.9159,0.38,0
22,2023-04-18 19:00:00,131.6169,80.24,434,22,2023-04-18 19:00:00,0.9163,0.38,0
23,2023-04-18 20:00:00,131.7146,80.3,434,23,2023-04-18 20:00:00,0.9293,0.39,0
24,2023-04-18 21:00:00,131.8106,80.36,434,24,2023-04-18 21:00:00,0.9259,0.38,0
25,2023-04-18 22:00:00,131.5704,80.22,434,25,2023-04-18 22:00:00,0.9223,0.38,0
26,2023-04-18 23:00:00,131.1989,79.99,434,26,2023-04-18 23:00:00,0.9174,0.38,0
27,2023-04-19 00:00:00,131.3587,80.09,434,27,2023-04-19 00:00:00,0.9176,0.38,0
28,2023-04-19 01:00:00,131.1979,79.99,434,28,2023-04-19 01:00:00,0.9194,0.38,0
29,2023-04-19 02:00:00,131.1498,79.96,434,29,2023-04-19 02:00:00,0.9173,0.38,0
30,2023-04-19 03:00:00,131.0207,79.88,434,30,2023-04-19 03:00:00,0.9042,0.38,0
31,2023-04-19 04:00:00,131.2033,79.99,434,31,2023-04-19 04:00:00,0.904,0.38,0
32,2023-04-19 05:00:00,131.7545,80.33,434,32,2023-04-19 05:00:00,0.9023,0.38,0
43,2023-04-19 16:00:00,132.5464,80.81,434,43,2023-04-19 16:00:00,0.8975,0.37,0
44,2023-04-19 17:00:00,132.6867,80.9,434,44,2023-04-19 17:00:00,0.8963,0.37,0
45,2023-04-19 18:00:00,132.4466,80.75,434,45,2023-04-19 18:00:00,0.9032,0.38,0
46,2023-04-19 19:00:00,132.5627,80.82,434,46,2023-04-19 19:00:00,0.928,0.39,0
47,2023-04-19 20:00:00,132.167,80.58,434,47,2023-04-19 20:00:00,0.9409,0.39,0
48,2023-04-19 21:00:00,132.0383,80.5,434,48,2023-04-19 21:00:00,0.956,0.4,0
49,2023-04-19 22:00:00,131.7017,80.3,434,49,2023-04-19 22:00:00,0.9524,0.4,0
50,2023-04-19 23:00:00,131.4471,80.14,434,50,2023-04-19 23:00:00,0.9558,0.4,0
51,2023-04-20 00:00:00,131.204,79.99,434,51,2023-04-20 00:00:00,0.9359,0.39,0
52,2023-04-20 01:00:00,130.9723,79.85,434,52,2023-04-20 01:00:00,0.9288,0.39,0
