,Num1,Date1,Amps1,Kilowatts1,ACFM1,Num2,Date2,Amps2,Kilowatts2,ACFM2,Num3,Date3,Amps3,Kilowatts3,ACFM3
0,643.0,2023-04-18 00:00:00,30.3945,13.9,0.0,,,,,,,,,,
1,644.0,2023-04-18 00:00:12,30.3868,13.89,0.0,,,,,,,,,,
2,645.0,2023-04-18 00:00:24,30.3815,13.89,0.0,,,,,,,,,,
3,646.0,2023-04-18 00:00:36,30.381,13.89,0.0,,,,,,,,,,
4,647.0,2023-04-18 00:00:48,30.3861,13.89,0.0,,,,,,,,,,
5,648.0,2023-04-18 00:01:00,30.384,13.89,0.0,,,,,,,,,,
6,649.0,2023-04-18 00:01:12,30.3799,13.89,0.0,,,,,,,,,,
7,650.0,2023-04-18 00:01:24,30.3754,13.89,0.0,,,,,,,,,,
8,651.0,2023-04-18 00:01:36,30.3672,13.89,0.0,,,,,,,,,,
9,652.0,2023-04-18 00:01:48,30.3639,13.88,0.0,,,,,,,,,,
10,653.0,2023-04-18 00:02:00,30.369,13.89,0.0,,,,,,,,,,
11,654.0,2023-04-18 00:02:12,30.3688,13.89,0.0,,,,,,,,,,
12,655.0,2023-04-18 00:02:24,30.3685,13.89,0.0,,,,,,,,,,
13,656.0,2023-04-18 00:02:36,30.3675,13.89,0.0,,,,,,,,,,
14,657.0,2023-04-18 00:02:48,30.3606,13.88,0.0,,,,,,,,,,
15,658.0,2023-04-18 00:03:00,30.356,13.88,0.0,,,,,,,,,,
16,659.0,2023-04-18 00:03:12,30.3619,13.88,0.0,,,,,,,,,,
17,660.0,2023-04-18 00:03:24,30.3621,13.88,0.0,,,,,,,,,,
18,661.0,2023-04-18 00:03:36,30.3637,13.88,0.0,,,,,,,,,,
19,662.0,2023-04-18 00:03:48,30.3573,13.88,0.0,,,,,,,,,,
20,663.0,2023-04-18 00:04:00,30.3522,13.88,0.0,,,,,,,,,,
21,664.0,2023-04-18 00:04:12,30.3484,13.88,0.0,,,,,,,,,,
22,665.0,2023-04-18 00:04:24,30.3476,13.88,0.0,,,,,,,,,,
23,666.0,2023-04-18 00:04:36,30.3494,13.88,0.0,,,,,,,,,,
24,667.0,2023-04-18 00:04:48,30.3484,13.88,0.0,,,,,,,,,,
25,668.0,2023-04-18 00:05:00,30.3479,13.88,0.0,,,,,,,,,,
26,669.0,2023-04-18 00:05:12,30.337,13.87,0.0,,,,,,,,,,
27,670.0,2023-04-18 00:05:24,30.327,13.87,0.0,,,,,,,,,,
28,671.0,2023-04-18 00:05:36,30.3215,13.86,0.0,,,,,,,,,,
29,672.0,2023-04-18 00:05:48,30.3199,13.86,0.0,,,,,,,,,,
30,673.0,2023-04-18 00:06:00,30.3217,13.86,0.0,,,,,,,,,,
31,674.0,2023-04-18 00:06:12,30.3181,13.86,0.0,,,,,,,,,,
32,675.0,2023-04-18 00:06:24,30.3184,13.86,0.0,,,,,,,,,,
33,676.0,2023-04-18 00:06:36,30.3184,13.86,0.0,,,,,,,,,,
34,677.0,2023-04-18 00:06:48,30.3204,13.86,0.0,,,,,,,,,,
35,678.0,2023-04-18 00:07:00,30.3265,13.87,0.0,,,,,,,,,,
36,679.0,2023-04-18 00:07:12,30.3309,13.87,0.0,,,,,,,,,,
37,680.0,2023-04-18 00:07:24,30.327,13.87,0.0,,,,,,,,,,
38,681.0,2023-04-18 00:07:36,30.3225,13.87,0.0,,,,,,,,,,
39,682.0,2023-04-18 00:07:48,30.3303,13.87,0.0,,,,,,,,,,
40,683.0,2023-04-18 00:08:00,30.3326,13.87,0.0,,,,,,,,,,
41,684.0,2023-04-18 00:08:12,30.3298,13.87,0.0,,,,,,,,,,
42,685.0,2023-04-18 00:08:24,30.3265,13.87,0.0,,,,,,,,,,
43,686.0,2023-04-18 00:08:36,30.3248,13.87,0.0,,,,,,,,,,
44,687.0,2023-04-18 00:08:48,30.3199,13.86,0.0,,,,,,,,,,
45,688.0,2023-04-18 00:09:00,30.326,13.87,0.0,,,,,,,,,,
46,689.0,2023-04-18 00:09:12,30.3235,13.87,0.0,,,,,,,,,,
47,690.0,2023-04-18 00:09:24,30.3217,13.86,0.0,,,,,,,,,,
48,691.0,2023-04-18 00:09:36,30.3293,13.87,0.0,,,,,,,,,,
49,692.0,2023-04-18 00:09:48,30.3268,13.87,0.0,,,,,,,,,,
50,693.0,2023-04-18 00:10:00,30.3227,13.87,0.0,,,,,,,,,,
51,694.0,2023-04-18 00:10:12,30.3159,13.86,0.0,,,,,,,,,,
52,695.0,2023-04-18 00:10:24,30.3163,13.86,0.0,,,,,,,,,,
53,696.0,2023-04-18 00:10:36,30.3141,13.86,0.0,,,,,,,,,,
54,697.0,2023-04-18 00:10:48,30.3092,13.86,0.0,,,,,,,,,,
55,698.0,2023-04-18 00:11:00,30.3014,13.86,0.0,,,,,,,,,,
56,699.0,2023-04-18 00:11:12,30.3021,13.86,0.0,,,,,,,,,,
57,700.0,2023-04-18 00:11:24,30.297,13.85,0.0,,,,,,,,,,
58,701.0,2023-04-18 00:11:36,30.2958,13.85,0.0,,,,,,,,,,
59,702.0,2023-04-18 00:11:48,30.2942,13.85,0.0,,,,,,,,,,
60,703.0,2023-04-18 00:12:00,30.2897,13.85,0.0,,,,,,,,,,
61,704.0,2023-04-18 00:12:12,30.2848,13.85,0.0,,,,,,,,,,
62,705.0,2023-04-18 00:12:24,30.2783,13.85,0.0,,,,,,,,,,
63,706.0,2023-04-18 00:12:36,30.2767,13.84,0.0,,,,,,,,,,
64,707.0,2023-04-18 00:12:48,30.2775,13.84,0.0,,,,,,,,,,
65,708.0,2023-04-18 00:13:00,30.2764,13.84,0.0,,,,,,,,,,
66,709.0,2023-04-18 00:13:12,30.2765,13.84,0.0,,,,,,,,,,
67,710.0,2023-04-18 00:13:24,30.2747,13.84,0.0,,,,,,,,,,
68,711.0,2023-04-18 00:13:36,30.28,13.85,0.0,,,,,,,,,,
69,712.0,2023-04-18 00:13:48,30.2856,13.85,0.0,,,,,,,,,,
70,713.0,2023-04-18 00:14:00,30.281,13.85,0.0,,,,,,,,,,
71,714.0,2023-04-18 00:14:12,30.2696,13.84,0.0,,,,,,,,,,
72,715.0,2023-04-18 00:14:24,30.2665,13.84,0.0,,,,,,,,,,
