,Num1,Date1,Amps1,Kilowatts1,ACFM1,Num2,Date2,Amps2,Kilowatts2,ACFM2,Num3,Date3,Amps3,Kilowatts3,ACFM3
0,1.0,2023-04-17 21:51:36,7.2773,3.33,0.0,,,,,,,,,,
1,2.0,2023-04-17 21:51:48,8.9408,4.09,0.0,,,,,,,,,,
2,3.0,2023-04-17 21:52:00,15.3172,7.0,0.0,,,,,,,,,,
3,4.0,2023-04-17 21:52:12,21.357,9.77,0.0,,,,,,,,,,
4,5.0,2023-04-17 21:52:24,22.1182,10.11,0.0,,,,,,,,,,
5,6.0,2023-04-17 21:52:36,22.5078,10.29,0.0,,,,,,,,,,
6,7.0,2023-04-17 21:52:48,22.8875,10.47,0.0,,,,,,,,,,
7,8.0,2023-04-17 21:53:00,23.2535,10.63,0.0,,,,,,,,,,
8,9.0,2023-04-17 21:53:12,23.6016,10.79,0.0,,,,,,,,,,
9,10.0,2023-04-17 21:53:24,23.93,10.94,0.0,,,,,,,,,,
10,11.0,2023-04-17 21:53:36,24.2367,11.08,0.0,,,,,,,,,,
11,12.0,2023-04-17 21:53:48,24.5253,11.21,0.0,,,,,,,,,,
12,13.0,2023-04-17 21:54:00,24.7918,11.34,0.0,,,,,,,,,,
13,14.0,2023-04-17 21:54:12,25.0413,11.45,0.0,,,,,,,,,,
14,15.0,2023-04-17 21:54:24,25.2756,11.56,0.0,,,,,,,,,,
15,16.0,2023-04-17 21:54:36,25.4917,11.66,0.0,,,,,,,,,,
16,17.0,2023-04-17 21:54:48,25.6936,11.75,0.0,,,,,,,,,,
17,18.0,2023-04-17 21:55:00,25.8762,11.83,0.0,,,,,,,,,,
18,19.0,2023-04-17 21:55:12,26.0443,11.91,0.0,,,,,,,,,,
19,20.0,2023-04-17 21:55:24,26.2033,11.98,0.0,,,,,,,,,,
20,21.0,2023-04-17 21:55:36,26.3447,12.05,0.0,,,,,,,,,,
21,22.0,2023-04-17 21:55:48,26.4759,12.11,0.0,,,,,,,,,,
22,23.0,2023-04-17 21:56:00,26.5947,12.16,0.0,,,,,,,,,,
23,24.0,2023-04-17 21:56:12,26.702,12.21,0.0,,,,,,,,,,
24,25.0,2023-04-17 21:56:24,26.7971,12.25,0.0,,,,,,,,,,
25,26.0,2023-04-17 21:56:36,26.8844,12.29,0.0,,,,,,,,,,
26,27.0,2023-04-17 21:56:48,26.9627,12.33,0.0,,,,,,,,,,
27,28.0,2023-04-17 21:57:00,27.043,12.37,0.0,,,,,,,,,,
28,29.0,2023-04-17 21:57:12,27.1064,12.39,0.0,,,,,,,,,,
29,30.0,2023-04-17 21:57:24,27.1738,12.43,0.0,,,,,,,,,,
30,31.0,2023-04-17 21:57:36,27.1875,12.43,0.0,,,,,,,,,,
31,32.0,2023-04-17 21:57:48,27.1387,12.41,0.0,,,,,,,,,,
32,33.0,2023-04-17 21:58:00,27.2575,12.46,0.0,,,,,,,,,,
33,34.0,2023-04-17 21:58:12,27.2653,12.47,0.0,,,,,,,,,,
34,35.0,2023-04-17 21:58:24,27.264,12.47,0.0,,,,,,,,,,
35,36.0,2023-04-17 21:58:36,27.2635,12.47,0.0,,,,,,,,,,
36,37.0,2023-04-17 21:58:48,27.248,12.46,0.0,,,,,,,,,,
37,38.0,2023-04-17 21:59:00,27.2313,12.45,0.0,,,,,,,,,,
38,39.0,2023-04-17 21:59:12,27.2127,12.44,0.0,,,,,,,,,,
39,40.0,2023-04-17 21:59:24,27.1995,12.44,0.0,,,,,,,,,,
40,41.0,2023-04-17 21:59:36,27.1895,12.43,0.0,,,,,,,,,,
41,42.0,2023-04-17 21:59:48,27.1733,12.43,0.0,,,,,,,,,,
42,43.0,2023-04-17 22:00:00,27.1725,12.42,0.0,,,,,,,,,,
43,44.0,2023-04-17 22:00:12,27.1364,12.41,0.0,,,,,,,,,,
44,45.0,2023-04-17 22:00:24,27.1529,12.42,0.0,,,,,,,,,,
45,46.0,2023-04-17 22:00:36,27.1257,12.4,0.0,,,,,,,,,,
46,47.0,2023-04-17 22:00:48,27.1046,12.39,0.0,,,,,,,,,,
47,48.0,2023-04-17 22:01:00,27.0904,12.39,0.0,,,,,,,,,,
48,49.0,2023-04-17 22:01:12,27.0807,12.38,0.0,,,,,,,,,,
49,50.0,2023-04-17 22:01:24,27.067,12.38,0.0,,,,,,,,,,
50,51.0,2023-04-17 22:01:36,27.0588,12.37,0.0,,,,,,,,,,
51,52.0,2023-04-17 22:01:48,27.0456,12.37,0.0,,,,,,,,,,
52,53.0,2023-04-17 22:02:00,27.0359,12.36,0.0,,,,,,,,,,
