,#,Timestamp,P1 PSI
0,753,2024-01-09 10:00:00,118.41
1,754,2024-01-09 10:00:12,118.06
2,755,2024-01-09 10:00:24,117.58
3,756,2024-01-09 10:00:36,117.23
4,757,2024-01-09 10:00:48,116.83
5,758,2024-01-09 10:01:00,116.48
6,759,2024-01-09 10:01:12,116.05
7,760,2024-01-09 10:01:24,115.65
8,761,2024-01-09 10:01:36,115.12
9,762,2024-01-09 10:01:48,114.73
10,763,2024-01-09 10:02:00,114.29
11,764,2024-01-09 10:02:12,113.85
12,765,2024-01-09 10:02:24,113.5
13,766,2024-01-09 10:02:36,113.15
14,767,2024-01-09 10:02:48,112.89
15,768,2024-01-09 10:03:00,112.45
16,769,2024-01-09 10:03:12,112.1
17,770,2024-01-09 10:03:24,111.75
18,771,2024-01-09 10:03:36,111.4
19,772,2024-01-09 10:03:48,111.05
20,773,2024-01-09 10:04:00,110.7
21,774,2024-01-09 10:04:12,110.39
22,775,2024-01-09 10:04:24,110.04
23,776,2024-01-09 10:04:36,109.65
24,777,2024-01-09 10:04:48,109.34
25,778,2024-01-09 10:05:00,108.99
26,779,2024-01-09 10:05:12,108.68
27,780,2024-01-09 10:05:24,108.29
28,781,2024-01-09 10:05:36,107.98
29,782,2024-01-09 10:05:48,107.63
30,783,2024-01-09 10:06:00,107.37
31,784,2024-01-09 10:06:12,106.97
32,785,2024-01-09 10:06:24,106.58
33,786,2024-01-09 10:06:36,106.27
34,787,2024-01-09 10:06:48,105.96
35,788,2024-01-09 10:07:00,105.7
36,789,2024-01-09 10:07:12,105.39
37,790,2024-01-09 10:07:24,105.09
38,791,2024-01-09 10:07:36,104.61
39,792,2024-01-09 10:07:48,104.12
40,793,2024-01-09 10:08:00,103.86
41,794,2024-01-09 10:08:12,103.55
42,795,2024-01-09 10:08:24,103.2
43,796,2024-01-09 10:08:36,102.98
44,797,2024-01-09 10:08:48,102.63
45,798,2024-01-09 10:09:00,102.41
46,799,2024-01-09 10:09:12,102.11
47,800,2024-01-09 10:09:24,101.76
48,801,2024-01-09 10:09:36,101.45
49,802,2024-01-09 10:09:48,101.19
50,803,2024-01-09 10:10:00,100.88
51,804,2024-01-09 10:10:12,100.57
52,805,2024-01-09 10:10:24,100.27
53,806,2024-01-09 10:10:36,99.96
54,807,2024-01-09 10:10:48,99.65
55,808,2024-01-09 10:11:00,99.43
56,809,2024-01-09 10:11:12,99.08
57,810,2024-01-09 10:11:24,98.78
58,811,2024-01-09 10:11:36,98.51
59,812,2024-01-09 10:11:48,99.26
60,813,2024-01-09 10:12:00,100.22
61,814,2024-01-09 10:12:12,99.96
