Num1,Date1,Amps1,Kilowatts1,ACFM1,Num2,Date2,Amps2,Kilowatts2,ACFM2,Num3,Date3,Amps3,Kilowatts3,ACFM3
,,,,,1,2024-01-09 07:33:24,2.1653,0.56,0.0,1,2024-01-09 07:33:24,2.1653,0.56,0.0
,,,,,2,2024-01-09 07:33:36,2.7934,0.72,0.0,2,2024-01-09 07:33:36,2.7934,0.72,0.0
,,,,,3,2024-01-09 07:33:48,3.4727,0.9,0.0,3,2024-01-09 07:33:48,3.4727,0.9,0.0
1.0,2024-01-09 07:34:00,6.556,1.7,0.0,4,2024-01-09 07:34:00,3.9483,1.02,0.0,4,2024-01-09 07:34:00,3.9483,1.02,0.0
2.0,2024-01-09 07:34:12,8.0115,2.07,0.0,5,2024-01-09 07:34:12,4.3517,1.13,0.0,5,2024-01-09 07:34:12,4.3517,1.13,0.0
3.0,2024-01-09 07:34:24,9.6778,2.51,0.0,6,2024-01-09 07:34:24,4.6587,1.21,0.0,6,2024-01-09 07:34:24,4.6587,1.21,0.0
4.0,2024-01-09 07:34:36,11.0694,2.87,0.0,7,2024-01-09 07:34:36,4.912,1.27,0.0,7,2024-01-09 07:34:36,4.912,1.27,0.0
5.0,2024-01-09 07:34:48,12.2833,3.18,0.0,8,2024-01-09 07:34:48,5.1282,1.33,0.0,8,2024-01-09 07:34:48,5.1282,1.33,0.0
6.0,2024-01-09 07:35:00,13.3529,3.46,0.0,9,2024-01-09 07:35:00,5.3138,1.38,0.0,9,2024-01-09 07:35:00,5.3138,1.38,0.0
7.0,2024-01-09 07:35:12,14.3038,3.7,0.0,10,2024-01-09 07:35:12,5.4732,1.42,0.0,10,2024-01-09 07:35:12,5.4732,1.42,0.0
8.0,2024-01-09 07:35:24,15.1578,3.92,0.0,11,2024-01-09 07:35:24,5.6176,1.45,0.0,11,2024-01-09 07:35:24,5.6176,1.45,0.0
9.0,2024-01-09 07:35:36,15.9162,4.12,0.0,12,2024-01-09 07:35:36,5.735,1.49,0.0,12,2024-01-09 07:35:36,5.735,1.49,0.0
10.0,2024-01-09 07:35:48,16.5774,4.29,0.0,13,2024-01-09 07:35:48,5.8256,1.51,0.0,13,2024-01-09 07:35:48,5.8256,1.51,0.0
11.0,2024-01-09 07:36:00,17.2086,4.46,0.0,14,2024-01-09 07:36:00,5.9221,1.53,0.0,14,2024-01-09 07:36:00,5.9221,1.53,0.0
12.0,2024-01-09 07:36:12,17.7951,4.61,0.0,15,2024-01-09 07:36:12,6.0099,1.56,0.0,15,2024-01-09 07:36:12,6.0099,1.56,0.0
13.0,2024-01-09 07:36:24,18.3449,4.75,0.0,16,2024-01-09 07:36:24,6.0783,1.57,0.0,16,2024-01-09 07:36:24,6.0783,1.57,0.0
14.0,2024-01-09 07:36:36,18.8945,4.89,0.0,17,2024-01-09 07:36:36,6.1134,1.58,0.0,17,2024-01-09 07:36:36,6.1134,1.58,0.0
15.0,2024-01-09 07:36:48,19.31,5.0,0.0,18,2024-01-09 07:36:48,6.1819,1.6,0.0,18,2024-01-09 07:36:48,6.1819,1.6,0.0
16.0,2024-01-09 07:37:00,19.6821,5.1,0.0,19,2024-01-09 07:37:00,6.2435,1.62,0.0,19,2024-01-09 07:37:00,6.2435,1.62,0.0
